brand_id,brand_name,product_id,product_name,shade_id,shade_name,hex,red,green,blue,L,a,b,monk_category
1000,About Face,1,The Performer Skin-focused Foundation,100000,L2OLIVE,#f2e0b8,242,224,184,89.697,0.044,21.845,4
1000,About Face,1,The Performer Skin-focused Foundation,100001,L2Neutral,#f0d7ba,240,215,186,87.326,4.215,17.476,4
1000,About Face,1,The Performer Skin-focused Foundation,100002,L2PEACH,#edccaa,237,204,170,84.015,6.628,21.246,5
1000,About Face,1,The Performer Skin-focused Foundation,100003,LM2OLIVE,#e9cfa3,233,207,163,84.275,2.639,25.223,5
1000,About Face,1,The Performer Skin-focused Foundation,100004,LM1COOL,#f4c9a4,244,201,164,83.803,10.092,24.217,5
1000,About Face,1,The Performer Skin-focused Foundation,100005,LM1Warm,#eecc9e,238,204,158,83.879,5.493,27.375,5
1000,About Face,1,The Performer Skin-focused Foundation,100006,LM2Neutral,#e6c6a0,230,198,160,81.703,5.804,23.244,5
1000,About Face,1,The Performer Skin-focused Foundation,100007,LM2PEACH,#f7c79b,247,199,155,83.437,11.223,28.492,5
1000,About Face,1,The Performer Skin-focused Foundation,100008,LM1Neutral,#efd4b7,239,212,183,86.434,4.978,17.791,4
1000,About Face,1,The Performer Skin-focused Foundation,100009,L1COOL,#fadcc2,250,220,194,89.583,6.432,16.579,4
1000,About Face,1,The Performer Skin-focused Foundation,100010,L1Warm,#fbe1ba,251,225,186,90.737,3.133,22.363,4
1000,About Face,1,The Performer Skin-focused Foundation,100011,L1Neutral,#fbe2c5,251,226,197,91.205,4.134,17.304,4
1000,About Face,1,The Performer Skin-focused Foundation,100012,F2OLIVE,#f9ebc7,249,235,199,93.312,-0.898,19.194,3
1000,About Face,1,The Performer Skin-focused Foundation,100013,F0COOL,#f8ede7,248,237,231,94.438,2.686,4.214,1
1000,About Face,1,The Performer Skin-focused Foundation,100014,F1Warm,#f8eeda,248,238,218,94.384,0.075,10.874,3
1000,About Face,1,The Performer Skin-focused Foundation,100015,M2Neutral,#d8af86,216,175,134,74.178,9.34,26.659,5
1000,About Face,1,The Performer Skin-focused Foundation,100016,M2COOL,#e2b996,226,185,150,77.917,9.859,23.322,5
1000,About Face,1,The Performer Skin-focused Foundation,100017,M2OLIVE,#d3b787,211,183,135,75.741,3.209,28.131,5
1000,About Face,1,The Performer Skin-focused Foundation,100018,M1Neutral,#e4be8f,228,190,143,79.217,7.16,28.823,5
1000,About Face,1,The Performer Skin-focused Foundation,100019,M1PEACH,#deb68a,222,182,138,76.571,8.45,27.831,5
1000,About Face,1,The Performer Skin-focused Foundation,100020,M1Warm,#e4be85,228,190,133,79.051,6.049,33.84,5
1000,About Face,1,The Performer Skin-focused Foundation,100021,M3Warm,#e1b580,225,181,128,76.446,9.076,32.999,5
1000,About Face,1,The Performer Skin-focused Foundation,100022,M3PEACH,#deae83,222,174,131,74.472,11.925,28.759,5
1000,About Face,1,The Performer Skin-focused Foundation,100023,MD1Warm,#d4a162,212,161,98,69.733,11.606,39.848,6
1000,About Face,1,The Performer Skin-focused Foundation,100024,MD2OLIVE,#c09558,192,149,88,64.49,8.857,38.128,6
1000,About Face,1,The Performer Skin-focused Foundation,100025,MD3Warm,#b58348,181,131,72,58.533,12.781,39.004,6
